experiment_id,date,author,branch,model,window_hours,feature_set,split_id,seed,validation_rmse,validation_mae,status,notes
AUDIT-001,2026-07-29,D.K.G.P.C.B. Wijerathne,feature/data-audit,data-audit,24,raw-features,time-split-v1,42,,,completed,Verified structure missing values temporal continuity target distribution and chronological split
PREP-001,2026-07-29,D.K.G.P.C.B. Wijerathne,feature/preprocessing,preprocessing,24,all-features,time-split-v1,42,,,completed,Causal station-aware forward fill training-only median imputation cyclical encoding station encoding and training-only scaling
SEQ-001,2026-07-29,D.K.G.P.C.B. Wijerathne,feature/sequence-builder,sequence-index,24,all-features,time-split-v1,42,,,completed,Constructed leakage-safe 24-hour windows with next-hour targets and memory-efficient batch generation
BASE-001,2026-07-29,D.K.G.P.C.B. Wijerathne,feature/baselines,persistence,24,PM2.5-lag-1,time-split-v1,42,17.6065,9.0208,completed,Last observed PM2.5 used as next-hour prediction
BASE-002,2026-07-29,D.K.G.P.C.B. Wijerathne,feature/baselines,historical-mean,24,PM2.5-history,time-split-v1,42,50.7812,30.5809,completed,Mean of previous 24 PM2.5 values
BASE-003,2026-07-29,D.K.G.P.C.B. Wijerathne,feature/baselines,ridge,24,tabular-115,time-split-v1,42,16.7889,9.3273,completed,Ridge alpha 10 using lag latest and summary features
BASE-004,2026-07-29,D.K.G.P.C.B. Wijerathne,feature/baselines,gradient-boosting,24,tabular-115,time-split-v1,42,16.7294,8.5922,completed,Histogram gradient boosting with 150 iterations
NN-001,2026-07-29,D.K.G.P.C.B. Wijerathne,feature/feedforward-nn,feedforward-nn,24,tabular-115,time-split-v1,42,15.7176,8.7623,completed,Dense 128-64-32 with dropout early stopping and learning-rate reduction
