epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
1,3275.308349609375,31.108516693115234,57.23027038574219,490.9120178222656,10.25651741027832,22.156436920166016,0.0010000000474974513
2,567.668701171875,14.685896873474121,23.825712203979492,362.52862548828125,9.216384887695312,19.040058135986328,0.0010000000474974513
3,514.1143188476562,13.754027366638184,22.673978805541992,332.954833984375,9.086220741271973,18.24690818786621,0.0010000000474974513
4,496.2112121582031,13.413715362548828,22.275672912597656,335.48907470703125,9.296231269836426,18.31621551513672,0.0010000000474974513
5,487.485107421875,13.196330070495605,22.07893943786621,334.6468200683594,9.672337532043457,18.29319953918457,0.0010000000474974513
6,478.20050048828125,13.100382804870605,21.867664337158203,318.3843994140625,9.090656280517578,17.84316635131836,0.0010000000474974513
7,472.749755859375,12.9933443069458,21.742671966552734,308.0809020996094,9.086450576782227,17.552061080932617,0.0010000000474974513
8,465.605712890625,12.919218063354492,21.5777530670166,298.58306884765625,8.870739936828613,17.279375076293945,0.0010000000474974513
9,464.0937194824219,12.87175178527832,21.542692184448242,306.7839050292969,9.0006103515625,17.51506233215332,0.0010000000474974513
10,462.46954345703125,12.863601684570312,21.504953384399414,300.6335754394531,8.759576797485352,17.338594436645508,0.0010000000474974513
11,461.978271484375,12.825658798217773,21.493515014648438,314.734375,8.94105339050293,17.740562438964844,0.0010000000474974513
12,453.514404296875,12.671451568603516,21.29570770263672,310.9830627441406,8.925944328308105,17.6345157623291,0.0005000000237487257
13,455.24554443359375,12.689720153808594,21.336320877075195,304.0714111328125,8.79442024230957,17.437437057495117,0.0005000000237487257
14,452.201904296875,12.659296035766602,21.264883041381836,315.7413635253906,9.159093856811523,17.76890754699707,0.0005000000237487257
