epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
1,3267.90234375,31.013967514038086,57.16554260253906,468.6308288574219,9.880020141601562,21.647781372070312,0.0010000000474974513
2,538.8211669921875,14.480735778808594,23.212425231933594,344.5059814453125,9.135738372802734,18.56073760986328,0.0010000000474974513
3,485.1930847167969,13.60947036743164,22.0269775390625,320.7469177246094,8.986759185791016,17.909257888793945,0.0010000000474974513
4,463.4954833984375,13.23327350616455,21.528812408447266,312.49957275390625,9.080439567565918,17.6774959564209,0.0010000000474974513
5,451.1976623535156,12.964142799377441,21.241275787353516,314.2738952636719,9.570764541625977,17.72760581970215,0.0010000000474974513
6,442.35980224609375,12.837333679199219,21.03219985961914,293.2437438964844,8.896337509155273,17.124183654785156,0.0010000000474974513
7,435.85272216796875,12.723307609558105,20.876934051513672,286.8199462890625,8.737317085266113,16.935571670532227,0.0010000000474974513
8,425.43658447265625,12.621806144714355,20.62596321105957,279.6285705566406,8.636422157287598,16.72190284729004,0.0010000000474974513
9,423.3773193359375,12.536803245544434,20.57597541809082,285.7903137207031,8.731034278869629,16.905132293701172,0.0010000000474974513
10,420.7889709472656,12.508052825927734,20.512985229492188,271.7011413574219,8.503122329711914,16.483144760131836,0.0010000000474974513
11,417.2185974121094,12.441008567810059,20.42575454711914,279.2527770996094,8.65861701965332,16.71063804626465,0.0010000000474974513
12,412.15625,12.372709274291992,20.30144691467285,272.99334716796875,8.836723327636719,16.522281646728516,0.0010000000474974513
13,412.01141357421875,12.355377197265625,20.29788589477539,276.699951171875,8.620916366577148,16.63406753540039,0.0010000000474974513
14,402.47607421875,12.19463062286377,20.061609268188477,279.9913635253906,8.669978141784668,16.732707977294922,0.0005000000237487257
15,401.1714172363281,12.15011215209961,20.029067993164062,274.7281188964844,8.556388854980469,16.574684143066406,0.0005000000237487257
16,399.5434265136719,12.127740859985352,19.988378524780273,267.4593200683594,8.600593566894531,16.35393524169922,0.0005000000237487257
17,394.8228759765625,12.077122688293457,19.869945526123047,269.26495361328125,8.553901672363281,16.40904426574707,0.0005000000237487257
18,393.2532958984375,12.035727500915527,19.83041000366211,284.9284973144531,8.923213958740234,16.879579544067383,0.0005000000237487257
19,390.7721252441406,12.004851341247559,19.76775360107422,267.375244140625,8.579056739807129,16.35135269165039,0.0005000000237487257
20,387.9926452636719,11.924825668334961,19.697307586669922,271.3116149902344,8.616525650024414,16.47127914428711,0.0002500000118743628
21,385.14593505859375,11.904061317443848,19.624916076660156,273.66619873046875,8.701984405517578,16.542600631713867,0.0002500000118743628
22,383.48651123046875,11.89111042022705,19.582592010498047,279.5394592285156,8.804450988769531,16.719175338745117,0.0002500000118743628
