epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
1,1943.62451171875,23.362506866455078,44.086509704589844,408.9977722167969,9.722848892211914,20.22357940673828,0.0010000000474974513
2,505.3125915527344,13.890454292297363,22.479053497314453,322.29962158203125,8.865853309631348,17.952558517456055,0.0010000000474974513
3,472.3988952636719,13.334068298339844,21.73461151123047,295.541015625,8.740046501159668,17.191143035888672,0.0010000000474974513
4,455.5289306640625,13.089445114135742,21.342979431152344,276.42962646484375,8.655746459960938,16.62598991394043,0.0010000000474974513
5,440.4493408203125,12.84838581085205,20.986736297607422,276.37115478515625,8.679610252380371,16.624217987060547,0.0010000000474974513
6,428.1103820800781,12.65577507019043,20.690670013427734,296.25946044921875,8.98879623413086,17.21198844909668,0.0010000000474974513
7,423.83026123046875,12.554500579833984,20.58697509765625,295.10626220703125,8.99337100982666,17.178442001342773,0.0010000000474974513
8,410.10687255859375,12.300646781921387,20.25090789794922,271.53533935546875,8.551362037658691,16.478097915649414,0.0005000000237487257
9,408.8800964355469,12.259735107421875,20.220600128173828,268.57452392578125,8.510699272155762,16.38800811767578,0.0005000000237487257
10,403.89691162109375,12.188618659973145,20.096994400024414,268.0771789550781,8.619853973388672,16.372821807861328,0.0005000000237487257
11,402.5195007324219,12.197332382202148,20.06269645690918,271.4251403808594,8.671390533447266,16.4747371673584,0.0005000000237487257
12,397.3754577636719,12.098896026611328,19.9340763092041,263.7061767578125,8.616952896118164,16.23877716064453,0.0005000000237487257
13,397.1346435546875,12.093103408813477,19.928010940551758,271.64776611328125,8.558820724487305,16.48148536682129,0.0005000000237487257
14,396.778076171875,12.064635276794434,19.91907501220703,273.3870544433594,8.580476760864258,16.534154891967773,0.0005000000237487257
15,391.9503479003906,12.001192092895508,19.797521591186523,272.44293212890625,8.645146369934082,16.505578994750977,0.0005000000237487257
16,388.8531494140625,11.908379554748535,19.719135284423828,266.029052734375,8.459707260131836,16.31011962890625,0.0002500000118743628
17,388.20196533203125,11.890823364257812,19.702617645263672,269.83990478515625,8.550565719604492,16.426530838012695,0.0002500000118743628
18,385.2978820800781,11.874324798583984,19.62877655029297,270.30633544921875,8.511038780212402,16.440719604492188,0.0002500000118743628
19,381.1225891113281,11.802433967590332,19.522136688232422,264.14654541015625,8.423547744750977,16.252304077148438,0.0001250000059371814
20,380.6260070800781,11.820964813232422,19.509395599365234,270.6510009765625,8.58076286315918,16.45119857788086,0.0001250000059371814
