model,split,samples,epochs_trained,best_epoch,parameters,training_seconds,rmse,mae,r2
gru,local_test,25891,36,28,23169,166.16982914899972,27.422408086163024,11.837725920194842,0.9424232574507342
gru,validation,25458,36,28,23169,166.16982914899972,16.09064471933072,8.447796889547934,0.9661886119607062
lstm,local_test,25891,27,19,29889,132.481567972,25.936705622043483,11.425170039261328,0.9484930851432691
lstm,validation,25458,27,19,29889,132.481567972,15.650468693167555,8.393595847080299,0.9680131992734806
