model,split,samples,epochs_trained,best_epoch,parameters,rmse,mae,r2
feedforward_nn,validation,25458,14,4,25217,15.673280467210185,8.739892640298512,0.9679198848220957
feedforward_nn,local_test,25891,14,4,25217,25.148207086574196,11.94990800028443,0.9515771922942838
