epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
1,1872.888916015625,22.808053970336914,43.276851654052734,368.1731872558594,9.277223587036133,19.18771743774414,0.0010000000474974513
2,475.60107421875,13.261458396911621,21.808170318603516,306.2344970703125,8.889525413513184,17.499404907226562,0.0010000000474974513
3,451.7792053222656,12.862784385681152,21.25497055053711,276.5238342285156,8.587467193603516,16.628829956054688,0.0010000000474974513
4,439.1211242675781,12.704926490783691,20.955078125,276.3258056640625,8.919455528259277,16.622861862182617,0.0010000000474974513
5,430.7194519042969,12.588493347167969,20.753620147705078,267.1219787597656,8.6801118850708,16.34366226196289,0.0010000000474974513
6,423.16278076171875,12.454912185668945,20.570743560791016,294.06109619140625,9.252153396606445,17.148000717163086,0.0010000000474974513
7,416.3428039550781,12.335196495056152,20.404300689697266,276.94989013671875,8.788986206054688,16.64158058166504,0.0010000000474974513
8,405.6740417480469,12.179804801940918,20.141162872314453,257.1639709472656,8.444458961486816,16.036081314086914,0.0010000000474974513
9,405.66851806640625,12.124287605285645,20.141016006469727,268.9630432128906,8.69506549835205,16.39983558654785,0.0010000000474974513
10,395.54095458984375,11.99919319152832,19.887996673583984,254.2269287109375,8.593676567077637,15.944211959838867,0.0010000000474974513
11,389.2373962402344,11.926922798156738,19.728872299194336,269.1109924316406,8.711514472961426,16.404315948486328,0.0010000000474974513
12,386.0697937011719,11.851797103881836,19.648408889770508,261.4577331542969,8.610440254211426,16.16934585571289,0.0010000000474974513
13,381.85894775390625,11.791587829589844,19.540950775146484,256.91168212890625,8.548911094665527,16.028139114379883,0.0010000000474974513
14,373.8265380859375,11.653347969055176,19.334312438964844,252.0320587158203,8.510066032409668,15.8751802444458,0.0005000000237487257
15,370.99267578125,11.6055908203125,19.260883331298828,259.7452392578125,8.589479446411133,16.11627960205078,0.0005000000237487257
16,371.2492980957031,11.581670761108398,19.267549514770508,251.53012084960938,8.453658103942871,15.859353065490723,0.0005000000237487257
17,370.34527587890625,11.555984497070312,19.244060516357422,261.9986267089844,8.620505332946777,16.186025619506836,0.0005000000237487257
18,366.0307922363281,11.533721923828125,19.13163948059082,252.74327087402344,8.493721008300781,15.897541999816895,0.0005000000237487257
19,365.09228515625,11.517383575439453,19.107101440429688,250.5580291748047,8.536956787109375,15.828658103942871,0.0005000000237487257
20,363.3079833984375,11.521743774414062,19.060338973999023,263.38812255859375,8.773978233337402,16.22887420654297,0.0005000000237487257
21,362.71148681640625,11.48759651184082,19.04467010498047,250.9841766357422,8.471708297729492,15.8420991897583,0.0005000000237487257
22,361.24822998046875,11.469602584838867,19.00619125366211,260.5213928222656,8.595030784606934,16.140289306640625,0.0005000000237487257
23,356.26873779296875,11.407630920410156,18.874771118164062,255.6144256591797,8.47948169708252,15.987556457519531,0.0002500000118743628
24,356.2943115234375,11.372393608093262,18.875423431396484,256.1086730957031,8.535602569580078,16.003002166748047,0.0002500000118743628
25,352.39794921875,11.344988822937012,18.77193260192871,250.77395629882812,8.450066566467285,15.835448265075684,0.0002500000118743628
26,350.5585021972656,11.318242073059082,18.72286605834961,248.7284393310547,8.461188316345215,15.77072525024414,0.0001250000059371814
27,349.38775634765625,11.309005737304688,18.691585540771484,253.8699493408203,8.55087947845459,15.932903289794922,0.0001250000059371814
28,353.5729064941406,11.352060317993164,18.80320167541504,253.22023010253906,8.51693344116211,15.912494659423828,0.0001250000059371814
29,353.25360107421875,11.353965759277344,18.794702529907227,253.73788452148438,8.553722381591797,15.928754806518555,0.0001250000059371814
30,349.8787536621094,11.297323226928711,18.704721450805664,253.37734985351562,8.522086143493652,15.917428970336914,6.25000029685907e-05
31,350.0655822753906,11.304107666015625,18.709680557250977,257.50457763671875,8.586910247802734,16.046546936035156,6.25000029685907e-05
32,346.8591003417969,11.296711921691895,18.623809814453125,254.91629028320312,8.574149131774902,15.965690612792969,6.25000029685907e-05
33,348.5641174316406,11.294904708862305,18.669527053833008,253.2469482421875,8.523634910583496,15.913328170776367,3.125000148429535e-05
34,349.818115234375,11.295891761779785,18.703073501586914,249.26229858398438,8.485347747802734,15.787633895874023,3.125000148429535e-05
