feedforward_weight,lstm_weight,rmse,mae,r2
0.0,1.0,15.650468693167555,8.393595847080299,0.9680131992734806
0.01,0.99,15.637937114223046,8.38610734832063,0.968064403444399
0.02,0.98,15.625653527696203,8.378834717589694,0.9681145545086306
0.03,0.97,15.613618599251495,8.3717507762371,0.9681636521384623
0.04,0.96,15.601832825733407,8.364836618450584,0.9682116966541218
0.05,0.95,15.590296852841668,8.358112456296768,0.9682586877272489
0.06,0.94,15.57901117044196,8.351655767010596,0.9683046256225419
0.07,0.9299999999999999,15.567976328159002,8.345412605752255,0.9683495103184673
0.08,0.92,15.557192901237608,8.339399385512207,0.9683933416464956
0.09,0.91,15.546661431064228,8.333589009566603,0.968436119532609
0.1,0.9,15.536382236604492,8.328066270980187,0.9684778447616263
0.11,0.89,15.526356171771669,8.322795641132888,0.9685185159026296
0.12,0.88,15.516583469817167,8.317730297286715,0.9685581339988953
0.13,0.87,15.507064641429157,8.312885965440492,0.9685966989221423
0.14,0.86,15.497800189886263,8.308246694138218,0.9686342105287257
0.15,0.85,15.488790561915266,8.303826502257483,0.9686706688580136
0.16,0.84,15.48003615468439,8.2996177151887,0.9687060741031298
0.17,0.83,15.471537565746269,8.295609074570189,0.9687404256001093
0.18,0.8200000000000001,15.463295002978136,8.291830653003235,0.9687737242128996
0.19,0.81,15.455309003741482,8.288314811562843,0.9688059694258846
0.2,0.8,15.447580010443795,8.28505645774879,0.9688371610595324
0.21,0.79,15.440108150473726,8.282024693363581,0.9688673001565662
0.22,0.78,15.432894157602204,8.279212857221749,0.9688963852646957
0.23,0.77,15.425938134988478,8.27664064383299,0.9689244174258941
0.24,0.76,15.419240543213764,8.274382371671708,0.9689513961913246
0.25,0.75,15.412801623942228,8.272354409273051,0.9689773219443713
0.26,0.74,15.406621732713853,8.270551169524536,0.969002194559416
0.27,0.73,15.400701402029668,8.268961392378749,0.9690260131488018
0.28,0.72,15.395040698188543,8.267633930531158,0.9690487786500157
0.29,0.71,15.38963989263854,8.266524912546993,0.9690704911235282
0.3,0.7,15.384499351221795,8.265649315735674,0.9690911501991588
0.31,0.69,15.379619325348457,8.264931627956543,0.9691107559153288
0.32,0.6799999999999999,15.374999960305017,8.26437931029324,0.9691293086847573
0.33,0.6699999999999999,15.370641587698755,8.264131964325333,0.969146808119651
0.34,0.6599999999999999,15.366544453946112,8.26416314222309,0.9691632541223106
0.35000000000000003,0.6499999999999999,15.362708851153695,8.264384206649279,0.9691786463593205
0.36,0.64,15.359134638515515,8.264786326526536,0.9691929861815343
0.37,0.63,15.355822340846014,8.265408427972469,0.9692062722161274
0.38,0.62,15.352771943262754,8.266305641738773,0.9692185052025389
0.39,0.61,15.349983709324189,8.267479591165843,0.969229684710098
0.4,0.6,15.347457756493226,8.268894378608316,0.9692398108407089
0.41000000000000003,0.59,15.345194149047554,8.270568310919444,0.9692488838558624
0.42,0.5800000000000001,15.34319297292445,8.27249485287534,0.9692569038764837
0.43,0.5700000000000001,15.341454540228687,8.27464687074099,0.9692638700634867
0.44,0.56,15.339978687805875,8.277024062564474,0.9692697834284545
0.45,0.55,15.33876560498888,8.279612444006963,0.9692746435165241
0.46,0.54,15.3378154505277,8.282395613035241,0.969278449941511
0.47000000000000003,0.53,15.337128191997024,8.285392754918343,0.9692812030290533
0.48,0.52,15.336703680496356,8.28855122863586,0.9692829035171716
0.49,0.51,15.336542283661183,8.291916934362575,0.9692835500206414
0.5,0.5,15.336643722565524,8.295471973473132,0.9692831436900254
0.51,0.49,15.337008143295037,8.299214576699015,0.9692816839192466
0.52,0.48,15.337635569008329,8.30314789926072,0.9692791705404403
0.53,0.47,15.338525711854183,8.307277626661243,0.9692756045774898
0.54,0.45999999999999996,15.339678874922228,8.311596868998857,0.9692709846328366
0.55,0.44999999999999996,15.341094757721999,8.31612061660057,0.9692653116728436
0.56,0.43999999999999995,15.342773295371536,8.320901566771479,0.9692585856660457
0.5700000000000001,0.42999999999999994,15.344714475832951,8.325938714478657,0.9692508063152393
0.58,0.42000000000000004,15.34691826117162,8.331243926520358,0.9692419733729969
0.59,0.41000000000000003,15.349384340551323,8.336765560222371,0.9692320876320031
0.6,0.4,15.35211278208772,8.342477285718681,0.9692211483123027
0.61,0.39,15.355103431022833,8.348425006555532,0.9692091554736556
0.62,0.38,15.358356069930435,8.354571349473412,0.9691961093737979
0.63,0.37,15.361870436704175,8.360961057917097,0.9691820103966609
0.64,0.36,15.365646503224248,8.36760290489988,0.9691668579343803
0.65,0.35,15.369683945502691,8.374505176071436,0.9691506525132428
0.66,0.33999999999999997,15.37398280514545,8.3816233946322,0.9691333931393091
