model,split,pollution_range,samples,rmse,mae,r2
persistence,validation,0-35,10864,10.99830119609568,4.8135126523882015,-0.47078921700455
persistence,validation,35-75,5755,13.264069252865973,8.172545548835906,-0.341784157796754
persistence,validation,75-150,4592,20.593925177162546,11.739982570972591,0.07083877433532282
persistence,validation,150-250,2644,24.484982576017362,15.639183067247474,0.31819306585883056
persistence,validation,250+,1619,35.49006599588763,21.816553512718148,0.7797123468323406
historical_mean,validation,0-35,10864,45.07589049081039,21.94176868995616,-23.705170162154992
historical_mean,validation,35-75,5755,38.21698144395986,24.64910943539219,-10.138888622239314
historical_mean,validation,75-150,4592,43.3580375206387,32.45105616307009,-3.118623099179972
historical_mean,validation,150-250,2644,60.661035650930565,49.630657533654286,-3.1848650372769756
historical_mean,validation,250+,1619,101.99342534389133,73.31675950651776,-0.8193694460881549
ridge,validation,0-35,10864,10.971485971219389,6.102135000594059,-0.4636260263183891
ridge,validation,35-75,5755,12.419431177375285,7.9085213913905115,-0.1763390355649872
ridge,validation,75-150,4592,18.430088591893778,10.374836723978927,0.2558377027348372
ridge,validation,150-250,2644,22.734842071161534,15.200858240228557,0.4121781860827406
ridge,validation,250+,1619,35.66013068805324,23.48784928206973,0.7775960976438947
gradient_boosting,validation,0-35,10864,9.402957705142871,4.639163086450054,-0.07504881437050703
gradient_boosting,validation,35-75,5755,11.31750782587514,7.3106744749664125,0.023143646568748788
gradient_boosting,validation,75-150,4592,18.233012708962757,10.43201361300638,0.271667505252
gradient_boosting,validation,150-250,2644,22.483019411869385,14.66753191666596,0.4251280928034583
gradient_boosting,validation,250+,1619,39.84566798988047,24.606399357061168,0.7223237304545627
persistence,local_test,0-35,12772,12.621985445454406,4.884513148871702,-1.573080881677479
persistence,local_test,35-75,3773,22.329401385369092,12.364166367379418,-2.7739505545472105
persistence,local_test,75-150,4246,26.977625423778516,16.08478567300402,-0.6089448222334222
persistence,local_test,150-250,2868,32.986858598828,20.915271918643967,-0.2889758132714775
persistence,local_test,250+,2247,64.72459217536252,36.42545626308847,0.697424398594588
historical_mean,local_test,0-35,12772,65.92358191730352,32.12984458678873,-69.190717321605
historical_mean,local_test,35-75,3773,53.351203483881065,34.45398220964114,-20.544205650911533
historical_mean,local_test,75-150,4246,64.76584026409365,46.67791258070304,-8.273116556766995
historical_mean,local_test,150-250,2868,69.82804809035115,54.82480523177271,-4.775939761309886
historical_mean,local_test,250+,2247,169.3639353407432,127.19399954554342,-1.0717489749916318
ridge,local_test,0-35,12772,12.079001655401845,6.283127853723293,-1.3564605276297907
ridge,local_test,35-75,3773,19.994460598978815,11.273875101283094,-2.0259477852077357
ridge,local_test,75-150,4246,24.182500014434716,14.292720568275541,-0.29281416901933066
ridge,local_test,150-250,2868,29.53024148317917,19.006988425633896,-0.03299173654634702
ridge,local_test,250+,2247,64.06554170777217,37.540868973912374,0.7035549074912026
gradient_boosting,local_test,0-35,12772,9.585241607937688,4.440404674652561,-0.48389857035999384
gradient_boosting,local_test,35-75,3773,17.17381528008599,10.678371181735745,-1.2324185344203253
gradient_boosting,local_test,75-150,4246,23.30352492365065,13.970922005833515,-0.20054086026722473
gradient_boosting,local_test,150-250,2868,28.60621803764581,19.057203034809277,0.030643025041273142
gradient_boosting,local_test,250+,2247,90.15882360694195,51.493191370605416,0.41290047007668473
