epoch,loss,mae,rmse
1,3115.05224609375,29.015077590942383,55.81263732910156
2,538.1427001953125,13.962937355041504,23.19778060913086
3,495.5377502441406,13.20449447631836,22.260562896728516
4,482.16949462890625,12.933023452758789,21.95823860168457
5,470.889892578125,12.789765357971191,21.699859619140625
6,460.4111022949219,12.671875953674316,21.457046508789062
7,452.6004638671875,12.574337005615234,21.27424430847168
8,447.62799072265625,12.47673511505127,21.157047271728516
9,448.1433410644531,12.46144962310791,21.16922378540039
10,441.493896484375,12.393869400024414,21.01156997680664
11,437.0833435058594,12.346280097961426,20.90634536743164
12,433.0635986328125,12.264914512634277,20.809986114501953
13,432.8729248046875,12.250157356262207,20.805389404296875
14,427.7174377441406,12.179826736450195,20.681116104125977
15,425.07794189453125,12.152678489685059,20.617183685302734
16,415.2484130859375,12.046648979187012,20.377397537231445
17,414.05047607421875,11.989341735839844,20.347991943359375
18,409.9732360839844,11.895636558532715,20.247549057006836
19,406.7788391113281,11.889815330505371,20.168502807617188
