epoch,loss,mae,rmse
1,1192.861328125,18.531862258911133,34.537750244140625
2,454.2799987792969,12.520278930664062,21.31370735168457
3,431.7399597167969,12.093441009521484,20.77820587158203
4,421.7010803222656,11.875076293945312,20.53520965576172
