model,window_size,feature_set,runs,validation_rmse_mean,validation_rmse_std,validation_rmse_min,validation_mae_mean,local_test_rmse_mean,local_test_rmse_std,training_seconds_mean
gru,24,all_features,1,16.180315264961752,,16.180315264961752,8.50407994330112,,,771.8516482000123
gru,12,all_features,1,16.30137540102712,,16.30137540102712,8.642938122599299,,,234.7442622999952
gru,6,all_features,1,16.350308907590133,,16.350308907590133,8.57821950060994,,,158.85648810000566
gru,24,pollution_only,1,17.05890266071201,,17.05890266071201,8.716028441243258,,,430.2120204999956
gru,12,pollution_only,1,17.204529966383543,,17.204529966383543,8.720936769476033,,,259.06792430000496
gru,6,pollution_only,1,17.280312272430486,,17.280312272430486,8.871294590662464,,,94.06270850000146
