model,split,samples,training_seconds,rmse,mae,r2
ridge,local_test,25891,3.419422699997085,26.047522069183447,12.437227351765594,0.9480520108670586
persistence,local_test,25891,0.0,27.461093585172797,12.313274949216966,0.942260692870363
gradient_boosting,local_test,25891,10.331845599997905,31.19277650732238,12.606181149709995,0.9255021089051633
historical_mean,local_test,25891,0.0,79.20342782223955,45.60748909489497,0.5196875244394077
gradient_boosting,validation,25458,10.331845599997905,16.72943784445295,8.592190409506333,0.9634507218617717
ridge,validation,25458,3.419422699997085,16.788862532372036,9.327275647869076,0.9631906070957029
persistence,validation,25458,0.0,17.606535748657848,9.02081865118608,0.9595178160289218
historical_mean,validation,25458,0.0,50.78121224902325,30.58092087224888,0.6632386539352779
