run_id,model,window_size,feature_set,feature_count,seed,units,dense_units,dropout_rate,learning_rate,batch_size,parameters,epochs_trained,best_epoch,training_seconds,train_samples,validation_samples,local_test_samples,validation_rmse,validation_mae,validation_r2,local_test_rmse,local_test_mae,local_test_r2
gru_w6_all_features_s42,gru,6,all_features,43,42,64,32,0.2,0.001,512,23169,22,16,121.89552878399992,257639,25458,25891,16.354541021074287,8.600785216398087,0.9650704629670824,,,
gru_w6_pollution_only_s42,gru,6,pollution_only,30,42,64,32,0.2,0.001,512,20673,14,8,79.86755619699989,257639,25458,25891,17.279345476885766,8.87062033167319,0.9610084334369676,,,
gru_w12_all_features_s42,gru,12,all_features,43,42,64,32,0.2,0.001,512,23169,18,12,92.46081831100037,257639,25458,25891,16.291361460527312,8.639117846560877,0.9653398157011812,,,
gru_w12_pollution_only_s42,gru,12,pollution_only,30,42,64,32,0.2,0.001,512,20673,16,10,86.96772940300025,257639,25458,25891,17.206413805658094,8.722059056945996,0.9613368855547372,,,
gru_w24_all_features_s42,gru,24,all_features,43,42,64,32,0.2,0.001,512,23169,25,19,140.7417160490004,257639,25458,25891,16.178228414125662,8.501350203419399,0.9658195297014178,27.2517395363264,11.82664383845922,0.9431377067770482
gru_w24_all_features_s123,gru,24,all_features,43,123,64,32,0.2,0.001,512,23169,24,18,140.7833068889995,257639,25458,25891,15.958252903709358,8.434037598401193,0.966742714757729,26.743576700148683,11.782492572456157,0.9452385560806296
gru_w24_all_features_s2026,gru,24,all_features,43,2026,64,32,0.2,0.001,512,23169,17,11,102.53167684300024,257639,25458,25891,16.276831891777416,8.450450914748401,0.9654016120051083,27.358760539914876,11.828983497280754,0.9426902190956726
gru_w24_pollution_only_s42,gru,24,pollution_only,30,42,64,32,0.2,0.001,512,20673,16,10,96.63761546100068,257639,25458,25891,17.059313991371557,8.715251770254785,0.9619951315014016,,,
