epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
1,1222.9615478515625,19.364477157592773,34.970794677734375,276.855712890625,9.597039222717285,16.638816833496094,0.0010000000474974513
2,437.7446594238281,12.677444458007812,20.922210693359375,261.16009521484375,9.202103614807129,16.160268783569336,0.0010000000474974513
3,418.7825622558594,12.239038467407227,20.464019775390625,250.7390594482422,8.876118659973145,15.834550857543945,0.0010000000474974513
4,401.31005859375,11.971145629882812,20.032556533813477,247.04904174804688,8.762310981750488,15.717592239379883,0.0010000000474974513
5,393.5448913574219,11.811484336853027,19.83779525756836,256.2889404296875,8.948701858520508,16.008819580078125,0.0010000000474974513
6,382.702880859375,11.60796070098877,19.562620162963867,248.3902130126953,8.753950119018555,15.760176658630371,0.0010000000474974513
7,372.7788391113281,11.429296493530273,19.307294845581055,274.770751953125,9.303346633911133,16.575990676879883,0.0010000000474974513
8,361.09185791015625,11.22848129272461,19.002216339111328,266.4927978515625,9.143174171447754,16.324373245239258,0.0010000000474974513
9,351.87384033203125,11.059555053710938,18.75809097290039,310.94146728515625,10.049620628356934,17.633310317993164,0.0005000000237487257
10,348.03057861328125,10.967890739440918,18.655370712280273,333.997802734375,10.350005149841309,18.275390625,0.0005000000237487257
11,343.71649169921875,10.901874542236328,18.53937530517578,363.8235778808594,10.863371849060059,19.07394790649414,0.0005000000237487257
12,340.084716796875,10.836213111877441,18.441165924072266,372.90740966796875,11.09182357788086,19.310596466064453,0.0005000000237487257
13,336.0691223144531,10.766119956970215,18.331954956054688,393.51214599609375,11.367795944213867,19.836929321289062,0.0002500000118743628
14,336.090576171875,10.740058898925781,18.33254623413086,397.38177490234375,11.412640571594238,19.934221267700195,0.0002500000118743628
